No. ;Hari;Slot Waktu;Dosen;Ruang;Kelas;Mata Kuliah;JJ;Tahun Ajaran;Semester
1;Senin;07.30 - 08.20;herlino;LABGSG5;TI-3A;Keamanan komputer dan pemulihan bencana;6;2020-2021;Ganjil
2;Senin;08.20 - 09.10;herlino;LABGSG5;TI-3A;Keamanan komputer dan pemulihan bencana;6;2020-2021;Ganjil
3;Senin;09.10 - 10.00;herlino;LABGSG5;TI-3A;Keamanan komputer dan pemulihan bencana;6;2020-2021;Ganjil
4;Senin;10.15 - 11.05;herlino;LABGSG5;TI-3A;Keamanan komputer dan pemulihan bencana;6;2020-2021;Ganjil
5;Senin;11.05 - 11.55;herlino;LABGSG5;TI-3A;Keamanan komputer dan pemulihan bencana;6;2020-2021;Ganjil
6;Senin;12.45 - 13.35;herlino;LABGSG5;TI-3A;Keamanan komputer dan pemulihan bencana;6;2020-2021;Ganjil
7;Senin;13.35 - 14.25;Taufik;LABGSG5;TI-3A;Kepemimpinan Dan Pengembangan Karakter dalam;3;2020-2021;Ganjil
8;Senin;14.25 - 15.15;Taufik;LABGSG5;TI-3A;Kepemimpinan Dan Pengembangan Karakter dalam;3;2020-2021;Ganjil
9;Senin;15.45 - 16.35;Taufik;LABGSG5;TI-3A;Kepemimpinan Dan Pengembangan Karakter dalam;3;2020-2021;Ganjil
10;Selasa;07.30 - 08.20;anggi;AA302;TI-3A;Pemrograman Berorientasi Objek 1;6;2020-2021;Ganjil
11;Selasa;08.20 - 09.10;anggi;AA302;TI-3A;Pemrograman Berorientasi Objek 1;6;2020-2021;Ganjil
12;Selasa;09.10 - 10.00;anggi;AA302;TI-3A;Pemrograman Berorientasi Objek 1;6;2020-2021;Ganjil
13;Selasa;10.15 - 11.05;anggi;AA302;TI-3A;Pemrograman Berorientasi Objek 1;6;2020-2021;Ganjil
14;Selasa;11.05 - 11.55;anggi;AA302;TI-3A;Pemrograman Berorientasi Objek 1;6;2020-2021;Ganjil
15;Selasa;12.45 - 13.35;anggi;AA302;TI-3A;Pemrograman Berorientasi Objek 1;6;2020-2021;Ganjil
16;Selasa;13.35 - 14.25;Risna;GSG210;TI-3A;Basis Data 2;6;2020-2021;Ganjil
17;Selasa;14.25 - 15.15;Risna;GSG210;TI-3A;Basis Data 2;6;2020-2021;Ganjil
18;Selasa;15.45 - 16.35;Risna;GSG210;TI-3A;Basis Data 2;6;2020-2021;Ganjil
19;Selasa;16.35 - 17.25;Risna;GSG210;TI-3A;Basis Data 2;6;2020-2021;Ganjil
20;Selasa;17.25 - 18.15;Risna;GSG210;TI-3A;Basis Data 2;6;2020-2021;Ganjil
21;Selasa;18.45 - 19.35;Risna;GSG210;TI-3A;Basis Data 2;6;2020-2021;Ganjil
22;Kamis;07.30 - 08.20;syamsi;AA303;TI-3A;Pemrograman visual;6;2020-2021;Ganjil
23;Kamis;08.20 - 09.10;syamsi;AA303;TI-3A;Pemrograman visual;6;2020-2021;Ganjil
24;Kamis;09.10 - 10.00;syamsi;AA303;TI-3A;Pemrograman visual;6;2020-2021;Ganjil
25;Kamis;10.15 - 11.05;syamsi;AA303;TI-3A;Pemrograman visual;6;2020-2021;Ganjil
26;Kamis;11.05 - 11.55;syamsi;AA303;TI-3A;Pemrograman visual;6;2020-2021;Ganjil
27;Kamis;12.45 - 13.35;syamsi;AA303;TI-3A;Pemrograman visual;6;2020-2021;Ganjil
28;Kamis;13.35 - 14.25;Dewi k;AA302;TI-3A;Bahasa Inggris Untuk TIK 3;3;2020-2021;Ganjil
29;Kamis;14.25 - 15.15;Dewi k;AA302;TI-3A;Bahasa Inggris Untuk TIK 3;3;2020-2021;Ganjil
30;Kamis;15.45 - 16.35;Dewi k;AA302;TI-3A;Bahasa Inggris Untuk TIK 3;3;2020-2021;Ganjil
31;Jumat;07.30 - 08.20;euis;GSG207;TI-3A;Metode Numerik;4;2020-2021;Ganjil
32;Jumat;08.20 - 09.10;euis;GSG207;TI-3A;Metode Numerik;4;2020-2021;Ganjil
33;Jumat;09.10 - 10.00;euis;GSG207;TI-3A;Metode Numerik;4;2020-2021;Ganjil
34;Jumat;10.15 - 11.05;euis;GSG207;TI-3A;Metode Numerik;4;2020-2021;Ganjil
35;Jumat;11.05 - 11.55;shinta;GSG207;TI-3A;Perancangan dan analisa berorientasi objek;4;2020-2021;Ganjil
36;Jumat;12.45 - 13.35;shinta;GSG207;TI-3A;Perancangan dan analisa berorientasi objek;4;2020-2021;Ganjil
37;Jumat;13.35 - 14.25;shinta;GSG207;TI-3A;Perancangan dan analisa berorientasi objek;4;2020-2021;Ganjil
38;Jumat;14.25 - 15.15;shinta;GSG207;TI-3A;Perancangan dan analisa berorientasi objek;4;2020-2021;Ganjil
